Question;Réponse
En 2023, quelle classe d'actifs a enregistré la plus forte croissance des encours (en variation annuelle) ?;Alternatifs
Dans l'attribution de performance, que représente généralement l'alpha d'un gérant ?;La performance « résiduelle » par rapport au benchmark après prise en compte du risque (beta)
Quelle région représente la plus grande part des encours des 500 plus grands gestionnaires (fin 2023) ?;Amérique du Nord
Quelle combinaison décrit le mieux les rôles respectifs d'une autorité nationale et d'une autorité européenne en matière de supervision des marchés ?;"Nationale : agrée/contrôle/sanctionne ; Européenne : coordonne/harmonise et veille à la convergence des règles"
En 2023, quel type de véhicule a le plus augmenté ses encours (croissance annuelle) ?;Fonds (mutual funds / UCITS)
Quelle proposition décrit le mieux une SICAV ?;Une société d'investissement qui émet des actions et détient un portefeuille d'actifs
Quel véhicule correspond à une société cotée à capital fixe au Royaume-Uni ?;Investment Trust (UK)
Quelle proposition décrit le mieux une industrie de gestion d'actifs fortement intégrée verticalement ?;Des groupes bancaires/assurantiels contrôlent à la fois distribution, gestion et souvent la conservation des actifs
Quel acteur est généralement propriétaire des actifs et délègue la gestion à une société de gestion ?;Asset owner (caisse de retraite, fondation, fonds souverain)
Quelle « marque » est associée au lancement (autour de l'an 2000) d'une grande gamme d'ETF ayant contribué à l'industrialisation mondiale des ETF ?;iShares
Quelle définition correspond le mieux au tracking error d'un fonds indiciel ?;La volatilité de l'écart de performance entre le fonds et son benchmark.
À quoi sert principalement une plateforme de gestion de portefeuille (PMS) ?;Centraliser le suivi des portefeuilles (positions/ordres) et faciliter le contrôle, l'analyse risque/performance et le reporting.
Quel est l'impact principal des frais de gestion sur un fonds pour l'investisseur ?;Ils réduisent la performance nette pour l'investisseur.
Quelle date est associée à l'approbation par Vanguard du premier fonds indiciel ?;18 septembre 1975
La catégorie « alternatifs » inclut le plus souvent quels types de stratégies ?;Private equity (dont venture), hedge funds, immobilier, infrastructure, crédit illiquide (et assimilés).
Laquelle des propositions décrit le mieux des actifs non cotés (non-listed) ?;"Pas de marché secondaire organisé ; valorisation plus complexe ; liquidité généralement plus faible."
Dans un marché où le Top 3 représente environ 40,8% des encours (cas du Royaume-Uni), quels acteurs composent ce Top 3 ?;BlackRock, Vanguard, State Street
Dans le cadre du cours, quelles sont les trois institutions cardinales de l'industrie de l'asset management ?;Société de gestion, fonds d'investissement, régulateur
En 2023, quelle part environ des encours totaux des 500 plus grands gestionnaires est concentrée dans le Top 20 ?;Environ 45,5%
Quelle caractéristique définit le mieux un fonds ouvert (open-end) ?;L'investisseur peut souscrire et racheter des parts au prix de la valeur liquidative (NAV) selon une fréquence définie.
Dans un marché où le Top 3 représente environ 67% des encours (cas France), quels acteurs composent ce Top 3 ?;Amundi, BNP Paribas Asset Management, Natixis Investment Managers
Une loi fédérale américaine majeure de 1974 sur les retraites (ERISA) a imposé un devoir fiduciaire. Quels effets lui sont le plus directement associés ?;Clarification des responsabilités, standardisation des pratiques et essor d'outils/acteurs de mesure, comparaison et intermédiation.
Que signifie un « nombre effectif d'acteurs » plus élevé (mesuré comme 1/HHI) dans un marché de gestion d'actifs ?;Le marché est moins concentré (répartition des parts de marché plus diffuse).
D'après le rapport Top 500 Asset Managers (Thinking Ahead Institute / Pensions & Investments), quel était le total des AUM des 500 plus grands gestionnaires à fin 2023 ?;128,0 trillions USD
Dans l'exemple français présenté, quel rôle est attribué au dépositaire d'un fonds ?;Conserver les actifs du fonds et effectuer certains contrôles.
Quelle innovation institutionnelle est présentée comme une étape majeure de la structuration de la gestion collective en France ?;La création des SICAV (1963)
Au-delà de la simple réplication d'un indice « large », quelle évolution est associée à l'essor de l'investissement passif ?;Des expositions passives « sur-mesure » (facteurs, thèmes ou secteurs) en plus de l'indexation traditionnelle.
Quelle combinaison résume le mieux les trois moteurs expliquant l'émergence de grands acteurs de la gestion d'actifs aux États-Unis ?;Épargne longue, règle fiduciaire, distribution industrialisée (plateformes/menus de fonds).
Dans le Q/R, que signifie AUM (Assets Under Management) ?;La valeur totale des actifs financiers gérés par une société pour le compte de ses clients.
Selon le document Q/R, quelle est la différence clé entre Asset Management et trading ?;L'asset management vise une gestion de long terme et encadrée, alors que le trading est plutôt spéculatif de court terme et peut être pour compte propre.
Entre fin 2022 et fin 2023, de quel ordre de grandeur est la croissance des encours totaux des 500 plus grands gestionnaires ?;Environ +12,5 %
D'après le Q/R, laquelle des propositions suivantes n'est pas citée comme contrainte de l'AMF sur un FCP ?;Garantir un rendement minimum aux porteurs de parts
Dans la répartition des encours par classe d'actifs (fin 2023), quelle catégorie représente la part la plus importante ?;Actions (incluant REITs)
En 2023, quelle affirmation est correcte concernant la part des actifs détenus via fonds (mutual funds / UCITS) et son évolution ?;52,4 % des actifs, avec une hausse de participation d'environ 114 points de base.
D'après le Q/R, quelle combinaison décrit correctement les notions sous gestion, sous supervision et sous conseil ?;"Sous gestion : portefeuille géré activement par la société ; sous supervision : portefeuille surveillé mais pas directement géré ; sous conseil : portefeuille géré par un tiers avec recommandations."
Le Q/R cite plusieurs grands métiers de l'asset management. Lequel n'est pas cité dans la liste des « principaux rôles » ?;Trader pour compte propre
D'après le rapport TAI / P&I 500 (édition 2024, données fin 2023), quelle part des investissements est réalisée en stratégies passives ?;45,5 %
Selon le cours, quelles lois de 1940 structurent l'architecture moderne des mutual funds et de l'activité de gestion/conseil aux États-Unis ?;Investment Company Act (1940) et Investment Advisers Act (1940)
Quel énoncé décrit le mieux le principe du passeport pour un fonds réglementé (type UCITS) ?;Commercialiser le fonds dans plusieurs pays après autorisation dans le pays d'origine, sous un cadre harmonisé.
À quoi correspond le plus souvent la notion d'encours passifs ?;Des actifs investis dans une stratégie qui suit un indice (tracking).
Toujours selon le rapport TAI / P&I 500 (fin 2023), quelle classe d'actifs a enregistré la plus forte croissance des encours en 2023 (YoY) ?;Actions (Equity)
D'après la comparaison France–Royaume-Uni (Top 500), quelle affirmation est correcte concernant la concentration du marché (part de marché du Top 3) ?;La France est plus concentrée : Top 3 ≈ 67,0 % contre ≈ 40,8 % au Royaume-Uni.
D'après le document Panorama de l'Asset Management européen (Top 11), quel gestionnaire affiche le plus haut niveau d'AUM en 2023 dans le tableau consolidé ?;Amundi
Parmi ces grands gestionnaires européens, lequel se situe généralement juste derrière le leader en termes d'encours (AUM) en fin d'année 2023 ?;Allianz Group
Quelle définition correspond le mieux à un endowment ?;Fonds constitué de dons, investi pour générer des revenus réguliers finançant une institution (ex. université, musée).
Dans un classement des 20 plus grands gestionnaires mondiaux (fin 2023), combien d'entre eux sont domiciliés aux États-Unis ?;14
Deux pays peuvent afficher des encours totaux comparables tout en ayant des structures de marché très différentes. Quelle combinaison est la plus cohérente avec ce constat ?;Encours totaux proches, mais l'un a beaucoup plus d'acteurs (marché fragmenté) et l'autre est dominé par quelques champions (marché concentré).
Dans une société de gestion, quelle fonction est principalement responsable du respect des règles internes et réglementaires (procédures, conflits d'intérêts, contrôles) ?;Compliance / Conformité
Quel énoncé décrit correctement un FCP (fonds commun de placement) ?;Une copropriété d'actifs dont les investisseurs détiennent des parts.
Dans le tableau des pays européens (Top 500), quel pays affiche un ratio AUM/PIB particulièrement élevé (effet « industrie de gestion » très supérieur à l'économie domestique) ?;Suisse
Quel type d'analyse repose principalement sur l'étude des états financiers d'une entreprise ?;Analyse fondamentale
Une grande loi américaine sur les retraites (1974) est présentée comme structurant durablement l'industrie de la gestion d'actifs. Quels effets sont le plus directement associés à ce cadre ?;Clarification des responsabilités, standardisation des pratiques, et développement d'une industrie d'intermédiation.
Qu'est-ce qu'un robo-advisor ?;Un système automatisé de gestion de portefeuille basé sur des algorithmes.
Quel jalon est le plus directement associé à la formalisation du couple risque/rendement et au rôle de la diversification dans la construction de portefeuille ?;La théorie moderne du portefeuille (Markowitz)
Dans le quizz (réponses), quel est le rôle du middle office dans une société de gestion ?;Contrôler, valider et suivre les opérations entre le front et le back office.
Quelle proposition décrit le mieux la différence de logique entre la supervision américaine et française ?;"Supervision fédérale axée sur la disclosure aux États-Unis ; supervision nationale plus encadrante dans un cadre européen en France."
Quel événement est présenté comme le lancement du premier ETF américain majeur dans le cours ?;Lancement du SPDR S&P 500 (SPY) en janvier 1993
Quel régulateur est associé à l'Allemagne ?;BaFin
