question;choices;answer;explanation;tags
"On se place dans le modèle $Y=X\beta+\varepsilon$ (rang(X)=p)). Quelles hypothèses fait-on sur $\varepsilon$ ? (plusieurs réponses possibles)";"Sa variance vaut $\sigma^2(XX')^{-1}$||Sa moyenne empirique est nulle||Sa variance vaut $\sigma^2(X'X)^{-1}$||Son espérance est nulle||Il est non-corrélé à $Y$||Sa variance vaut $\sigma^2 I_n$";[3,5];"Hypothèses usuelles : $\mathbb E[\varepsilon]=0$ et $\operatorname{Var}(\varepsilon)=\sigma^2 I_n$. En revanche $\varepsilon$ n’est pas non-corrélé à $Y$ puisque $Y=X\beta+\varepsilon$.";"QCM1, régression linéaire"
"Que vaut l’estimateur MCO (OLS) de $\beta$ ?";"$\mathbb E\big((XX')^{-1}XY\big)$||$(X'X)^{-1}X'Y$||$(XX')^{-1}XY$||$\mathbb E\big((X'X)^{-1}XY\big)$";1;"Formule classique des MCO : $\hat\beta=(X'X)^{-1}X'Y$.";"QCM1, régression linéaire"
"Que signifie $\operatorname{rg}(X)=p$ ? (plusieurs réponses possibles)";"$p\le n$||La matrice $X'X$ est inversible||La corrélation entre les variables explicatives est nulle||Les colonnes de $X$ sont linéairement indépendantes||La matrice $X$ est inversible";[0,1,3];"Rang colonne plein : colonnes LI, donc $X'X$ inversible et nécessairement $p\le n$. $X$ n’est pas forcément carrée, et l’absence de colinéarité n’implique pas corrélation nulle.";"QCM1, régression linéaire"
"Si la p-valeur du test de Student pour le coefficient de $X^{(j)}$ vaut 0,023, que concluez-vous ?";"Le modèle de régression est inadéquat.||Ce coefficient de régression est nul.||Le modèle est surajusté.||Il y a une relation statistiquement significative entre $X^{(j)}$ et $Y$.";3;"Avec un seuil usuel $\alpha=5\%$, $p=0{,}023<0{,}05$ : on rejette $H_0$ « coefficient nul ».";"QCM1, régression linéaire"
"Comment sont définis les résidus $\hat\varepsilon$ ? (plusieurs réponses possibles)";"$\hat\varepsilon$=$P[X]Y$||$\hat\varepsilon$=$\hat Y - X\beta$||$\hat\varepsilon$=$Y - X\hat\beta$||$\hat\varepsilon$=$P[X]\varepsilon$||$\hat\varepsilon$=$P[X]^\perp \varepsilon$||$\hat\varepsilon$=$P[X]^\perp Y$||$\hat\varepsilon$=$Y - X\beta$";[2,4,5];"Par définition $\hat\varepsilon=Y-X\hat\beta=(I-P[X])Y=P[X]^\perp Y$. Comme $Y=X\beta+\varepsilon$, on a aussi $P[X]^\perp Y=P[X]^\perp\varepsilon$.";"QCM1, régression linéaire"
"Supposons que pour un test statistique donné, la région critique associée au risque de première espèce α = 5% est {|T| > 3.1}, où T désigne la statistique de test. On observe T = −4, que peut-on conclure ? (plusieurs réponses possibles)";"Pour un risque de première espèce de 1%, on rejette l’hypothèse nulle du test.||Pour un risque de première espèce de 5%, on ne peut pas conclure au test.||Pour un risque de première espèce de 10%, on ne peut pas conclure au test.||Pour un risque de première espèce de 5%, on rejette l’hypothèse nulle du test.||Pour un risque de première espèce de 1%, on ne peut pas conclure au test.||Pour un risque de première espèce de 10%, on rejette l’hypothèse nulle du test.";[4,3,5];"Si |T|=4 > 3.1, on est dans la région critique pour α=5% et α=10% donc on rejette. Mais pas assez extrême pour α=1%.";"QCM1, régression linéaire"
"Pour le même test qu’à la question précédente, on note F la fonction de répartition de T sous H0. On observe toujours T = −4. Que vaut alors la p-value ?";"1−F(−4)||F(−4)||2F(−4)||2(1−F(−4))";2;"La p-value bilatérale est 2×F(−4).";"QCM1, régression linéaire"
"Lors d’une étude statistique effectuée auprès d’étudiants, on relève la mention obtenue au BAC. Cette variable peut être considérée comme :";"qualitative ordinale||quantitative continue||qualitative nominale||quantitative discrète";0;"Les mentions (« passable », « bien », « très bien ») ont un ordre naturel → qualitative ordinale.";"QCM1, régression linéaire"
"Lors d’une étude statistique, on souhaite étudier le lien entre le pays d’origine des individus observés et leur souscription (ou non) à une assurance vie. Quel outil vous semble adapté ?";"La mise en place d’un test du chi-deux||La représentation d’un nuage de points||Une représentation graphique à l’aide de boxplots||Le calcul de la corrélation de Pearson";0;"Deux variables qualitatives → test du chi² d’indépendance.";"QCM1, régression linéaire"
"Dans l’écriture classique d’un modèle de régression linéaire concernant n individus, Y = Xβ + ε, (plusieurs réponses possibles)";"Y et X sont des vecteurs de taille n||Y est toujours considéré comme aléatoire||ε est toujours considéré comme aléatoire||Y et β sont des vecteurs de taille n||X est une matrice";[1,2,4];"Y est un vecteur aléatoire (n×1), ε aussi. X est une matrice n×p. β est p×1. Donc pas un vecteur de taille n.";"QCM1, régression linéaire"
"Supposons que lors de l’application d’un test statistique, on observe une p-value de 0.037. Que peut-on conclure ? (plusieurs réponses possibles)";"Pour un risque de première espèce de 1%, on ne peut pas conclure au test.||Pour un risque de première espèce de 1%, on rejette l’hypothèse nulle du test.||Pour un risque de première espèce de 5%, on rejette l’hypothèse nulle du test.||Pour un risque de première espèce de 5%, on ne peut pas conclure au test.||Pour un risque de première espèce de 10%, on rejette l’hypothèse nulle du test.||Pour un risque de première espèce de 10%, on ne peut pas conclure au test.";[2,4];"p=0,037 < 0,05 donc rejet pour α=5% et α=10%. Mais p > 0,01 donc pas de rejet au seuil 1%.";"QCM1, régression linéaire"
"Pour un test donné, la région critique associée à un risque de première espèce α est {|T| > a}, où T suit une loi continue. On a observé T = −2 et une p-value de 0.037. Que peut-on conclure ? (plusieurs réponses possibles)";"Pour α=5%, a < 2||Pour α=3.7%, a > 2||Pour α=3.7%, a < 2||Pour α=3.7%, a = 2||Pour α=5%, a > 2||Pour α=5%, a = 2";[0,3];"La p-value=0,037 → seuil critique α≈3,7%. Donc pour α=5%, rejet, donc a<2. Pour α=3,7%, T est sur la frontière, donc a>2.";"QCM1, régression linéaire"
"Lors d’une étude statistique effectuée auprès d’étudiants, on relève le code postal du lycée dont ils proviennent. Cette variable peut être considérée comme :";"qualitative nominale||quantitative continue||qualitative ordinale||quantitative discrète";0;"Code postal est une étiquette, sans ordre ni métrique → qualitative nominale.";"QCM1, régression linéaire"
"Lors d’une étude statistique, on souhaite étudier le lien entre le pays d’origine des individus observés et leur revenu annuel. Quel outil vous semble adapté ?";"La mise en place d’un test du chi-deux||Le calcul de la corrélation de Pearson||La représentation d’un nuage de points||Une représentation graphique à l’aide de boxplots";3;"Pays d’origine = variable qualitative, revenu = quantitative → comparaison de distributions via boxplots.";"QCM1, régression linéaire"
